County,"# of Deaths",County Population1,Rate2
Adams,25,"102,811",24.3
Allegheny,354,"1,218,452",29.1
Armstrong,18,"65,263",27.6
Beaver,120,"164,742",72.8
Bedford,6,"48,176",12.5
Berks,393,"420,152",93.5
Blair,16,"122,492",13.1
Bradford,3,"60,833",4.9
Bucks,607,"628,195",96.6
Butler,23,"187,888",12.2
Cambria,7,"131,730",5.3
Carbon,28,"64,227",43.6
Centre,11,"162,805",6.8
Chester,363,"522,046",69.5
Clarion,3,"38,779",7.7
Clearfield,2,"79,388",2.5
Clinton,6,"38,684",15.5
Columbia,35,"65,456",53.5
Crawford,3,"85,063",3.5
Cumberland,76,"251,423",30.2
Dauphin,179,"277,097",64.6
Delaware,753,"564,751",133.3
Elk,2,"30,169",6.6
Erie,38,"272,061",14.0
Fayette,7,"130,441",5.4
Franklin,50,"154,835",32.3
Fulton,2,"14,523",13.8
Greene,1,"36,506",2.7
Huntingdon,6,"45,168",13.3
Indiana,12,"84,501",14.2
Jefferson,3,"43,641",6.9
Juniata,7,"24,704",28.3
Lackawanna,216,"210,793",102.5
Lancaster,458,"543,557",84.3
Lawrence,23,"86,184",26.7
Lebanon,59,"141,314",41.8
Lehigh,352,"368,100",95.6
Luzerne,189,"317,646",59.5
Lycoming,25,"113,664",22.0
McKean,2,"40,968",4.9
Mercer,16,"110,683",14.5
Mifflin,2,"46,222",4.3
Monroe,132,"169,507",77.9
Montgomery,878,"828,604",106.0
Montour,5,"18,240",27.4
Northampton,305,"304,807",100.1
Northumberland,50,"91,083",54.9
Perry,6,"46,139",13.0
Philadelphia,1817,"1,584,138",114.7
Pike,22,"55,933",39.3
Schuylkill,52,"142,067",36.6
Snyder,4,"40,540",9.9
Somerset,3,"73,952",4.1
Susquehanna,28,"40,589",69.0
Tioga,3,"40,763",7.4
Union,6,"44,785",13.4
Venango,1,"51,266",2.0
Warren,1,"39,498",2.5
Washington,29,"207,346",14.0
Wayne,10,"51,276",19.5
Westmoreland,52,"350,611",14.8
Wyoming,8,"27,046",29.6
York,149,"448,273",33.2
