County,"# of Deaths",County Population1,Rate2
Adams,23,"102,811",22.4
Allegheny,314,"1,218,452",25.8
Armstrong,9,"65,263",13.8
Beaver,96,"164,742",58.3
Bedford,5,"48,176",10.4
Berks,382,"420,152",90.9
Blair,11,"122,492",9.0
Bradford,3,"60,833",4.9
Bucks,586,"628,195",93.3
Butler,18,"187,888",9.6
Cambria,5,"131,730",3.8
Carbon,28,"64,227",43.6
Centre,11,"162,805",6.8
Chester,353,"522,046",67.6
Clarion,3,"38,779",7.7
Clearfield,1,"79,388",1.3
Clinton,5,"38,684",12.9
Columbia,35,"65,456",53.5
Crawford,2,"85,063",2.4
Cumberland,72,"251,423",28.6
Dauphin,163,"277,097",58.8
Delaware,724,"564,751",128.2
Elk,2,"30,169",6.6
Erie,35,"272,061",12.9
Fayette,6,"130,441",4.6
Franklin,47,"154,835",30.4
Fulton,2,"14,523",13.8
Greene,1,"36,506",2.7
Huntingdon,5,"45,168",11.1
Indiana,10,"84,501",11.8
Jefferson,1,"43,641",2.3
Juniata,6,"24,704",24.3
Lackawanna,214,"210,793",101.5
Lancaster,432,"543,557",79.5
Lawrence,18,"86,184",20.9
Lebanon,57,"141,314",40.3
Lehigh,343,"368,100",93.2
Luzerne,188,"317,646",59.2
Lycoming,23,"113,664",20.2
McKean,2,"40,968",4.9
Mercer,13,"110,683",11.7
Mifflin,1,"46,222",2.2
Monroe,127,"169,507",74.9
Montgomery,863,"828,604",104.2
Montour,5,"18,240",27.4
Northampton,301,"304,807",98.8
Northumberland,35,"91,083",38.4
Perry,5,"46,139",10.8
Philadelphia,1768,"1,584,138",111.6
Pike,21,"55,933",37.5
Schuylkill,51,"142,067",35.9
Snyder,2,"40,540",4.9
Somerset,3,"73,952",4.1
Susquehanna,27,"40,589",66.5
Tioga,3,"40,763",7.4
Union,6,"44,785",13.4
Venango,1,"51,266",2.0
Warren,1,"39,498",2.5
Washington,27,"207,346",13.0
Wayne,10,"51,276",19.5
Westmoreland,49,"350,611",14.0
Wyoming,8,"27,046",29.6
York,123,"448,273",27.4
